                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.3866,                 5.2589,                 4.1327,                      0,                      0,                      0,                      0,                 5.4384,                 5.0395,                 4.1513,             0.00019084,             0.00019084,             0.00019084
                      2,                 4.2219,                 4.3097,                 3.6674,                      0,                      0,                      0,                      0,                 5.4835,                 5.0556,                 4.1804,             0.00037918,             0.00037918,             0.00037918
                      3,                 2.9036,                 3.3457,                  2.949,                      0,                      0,                      0,                      0,                 5.5603,                 5.1653,                 4.2857,             0.00055976,             0.00055976,             0.00055976
                      4,                 2.4717,                 2.8207,                  2.459,                0.28547,                0.37744,                0.08377,                0.03374,                 3.2136,                 3.6746,                 2.9329,             0.00055307,             0.00055307,             0.00055307
                      5,                 2.2209,                  2.444,                 2.2271,                0.21068,                0.74778,                0.30923,                0.13721,                 2.0613,                 2.5527,                 2.2105,             0.00055307,             0.00055307,             0.00055307
                      6,                 2.0455,                 2.2831,                  2.046,                0.27445,                0.72799,                0.39399,                0.24397,                 1.4973,                 2.0482,                 1.8227,             0.00054143,             0.00054143,             0.00054143
                      7,                 1.9556,                 2.1485,                 1.9477,                0.28724,                0.72762,                0.42229,                0.25313,                 1.5129,                 1.9059,                 1.8288,             0.00052979,             0.00052979,             0.00052979
                      8,                 1.8364,                 2.0017,                 1.8608,                0.45016,                0.62553,                0.53336,                0.33291,                 1.3597,                  1.756,                 1.6926,             0.00051815,             0.00051815,             0.00051815
                      9,                 1.8253,                 1.9186,                 1.7955,                0.60818,                0.39429,                0.57169,                0.34939,                 1.3366,                 1.8523,                 1.6801,              0.0005065,              0.0005065,              0.0005065
                     10,                 1.7598,                 1.8403,                 1.7238,                0.64133,                0.66741,                0.64568,                0.31215,                 1.5716,                 1.6346,                  1.763,             0.00049486,             0.00049486,             0.00049486
                     11,                 1.7002,                 1.7443,                 1.7096,                0.54972,                0.72226,                0.75339,                0.48199,                 1.3184,                 1.4004,                 1.5669,             0.00048322,             0.00048322,             0.00048322
                     12,                 1.6434,                 1.6659,                 1.6349,                0.58648,                 0.8055,                0.73127,                0.41788,                  1.388,                 1.3962,                 1.5779,             0.00047158,             0.00047158,             0.00047158
                     13,                 1.6229,                 1.5819,                 1.5998,                0.63949,                0.71343,                0.73688,                0.47285,                  1.322,                 1.3273,                 1.5466,             0.00045993,             0.00045993,             0.00045993
                     14,                 1.5879,                 1.4878,                  1.574,                0.62898,                 0.7544,                 0.7661,                0.51369,                 1.2083,                 1.2577,                  1.477,             0.00044829,             0.00044829,             0.00044829
                     15,                 1.5509,                 1.4281,                 1.5377,                0.62076,                0.69643,                 0.7649,                0.50455,                 1.1674,                 1.3152,                   1.42,             0.00043665,             0.00043665,             0.00043665
                     16,                 1.5085,                  1.381,                 1.5126,                0.74308,                 0.7121,                0.77242,                0.51344,                 1.1432,                 1.1631,                 1.4194,             0.00042501,             0.00042501,             0.00042501
                     17,                 1.4715,                 1.3499,                 1.4685,                0.66884,                0.78091,                0.80517,                0.56945,                 1.0725,                  1.148,                 1.3595,             0.00041336,             0.00041336,             0.00041336
                     18,                 1.4408,                 1.3157,                 1.4367,                0.77084,                0.76051,                0.84801,                0.59898,                 1.0819,                 1.0016,                 1.3347,             0.00040172,             0.00040172,             0.00040172
                     19,                 1.4402,                 1.2691,                 1.4486,                0.73545,                0.78949,                0.84872,                 0.5726,                 1.1986,                 1.0479,                 1.4024,             0.00039008,             0.00039008,             0.00039008
                     20,                 1.3876,                 1.2108,                 1.4175,                0.80797,                0.80444,                0.88463,                0.62614,                  1.071,                0.93926,                 1.3299,             0.00037844,             0.00037844,             0.00037844
                     21,                   1.38,                 1.1776,                 1.3885,                0.85464,                0.75744,                0.88802,                0.61569,                 1.0783,                0.90032,                 1.3308,             0.00036679,             0.00036679,             0.00036679
                     22,                 1.3595,                 1.1551,                 1.3765,                0.77595,                0.84218,                0.86606,                0.62113,                 1.0189,                0.92014,                 1.2938,             0.00035515,             0.00035515,             0.00035515
                     23,                 1.3353,                 1.1338,                 1.3654,                0.84622,                0.83819,                0.89621,                0.59099,                 1.2006,                 0.8916,                 1.3677,             0.00034351,             0.00034351,             0.00034351
                     24,                 1.3357,                 1.0904,                 1.3796,                0.83167,                0.88901,                0.93174,                0.69236,                0.96831,                0.79393,                 1.2601,             0.00033187,             0.00033187,             0.00033187
                     25,                 1.3306,                 1.0772,                 1.3682,                0.76071,                0.86358,                0.90037,                0.66878,                0.97366,                0.85187,                  1.263,             0.00032022,             0.00032022,             0.00032022
                     26,                 1.3191,                 1.0622,                 1.3631,                0.86125,                0.84215,                0.92317,                0.61936,                 1.1234,                0.80014,                 1.3374,             0.00030858,             0.00030858,             0.00030858
                     27,                 1.3103,                 1.0361,                 1.3543,                0.84052,                0.87727,                0.93061,                0.68596,                0.99465,                0.75084,                 1.2428,             0.00029694,             0.00029694,             0.00029694
                     28,                 1.2928,                 1.0273,                 1.3248,                0.83959,                0.90659,                0.93744,                0.67843,                  1.035,                0.72379,                  1.286,              0.0002853,              0.0002853,              0.0002853
                     29,                 1.3058,                 1.0036,                 1.3305,                0.88898,                0.90851,                0.93799,                 0.6753,                 1.0168,                0.71208,                 1.2653,             0.00027366,             0.00027366,             0.00027366
