                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.3444,                 5.2591,                 4.1313,                      0,                      0,                      0,                      0,                 5.1069,                 5.1707,                 4.1419,             0.00019122,             0.00019122,             0.00019122
                      2,                 4.3361,                 4.3441,                 3.7192,                      0,                      0,                      0,                      0,                 5.1364,                 5.1864,                 4.1716,             0.00037955,             0.00037955,             0.00037955
                      3,                 3.0324,                 3.4837,                 3.1758,                      0,                      0,                      0,                      0,                 4.6445,                 5.3828,                 3.7962,             0.00056012,             0.00056012,             0.00056012
                      4,                 2.4581,                 2.8045,                 2.4709,                 0.1449,                0.43676,                0.17729,                0.07219,                 2.9362,                 6.4382,                  3.006,             0.00055307,             0.00055307,             0.00055307
                      5,                 2.2304,                 2.5209,                    2.2,                0.27514,                0.49334,                 0.2339,                0.11693,                 2.2638,                 5.5135,                 2.3963,             0.00055307,             0.00055307,             0.00055307
                      6,                 2.0538,                 2.3054,                 2.0308,                0.30443,                0.51964,                0.30418,                 0.1769,                 1.9508,                  3.762,                 2.1849,             0.00054143,             0.00054143,             0.00054143
                      7,                 1.8878,                 2.0978,                 1.8742,                0.43531,                0.50425,                 0.3775,                0.23815,                 1.7768,                 3.0471,                 2.0955,             0.00052979,             0.00052979,             0.00052979
                      8,                 1.7963,                 2.0295,                 1.7805,                0.50048,                0.55874,                 0.4647,                0.28617,                 1.9706,                 2.8872,                 2.1005,             0.00051815,             0.00051815,             0.00051815
                      9,                 1.8044,                 1.8945,                 1.7587,                0.61684,                0.41003,                0.43612,                0.28496,                 1.7353,                 2.8802,                  2.014,              0.0005065,              0.0005065,              0.0005065
                     10,                  1.711,                 1.7809,                 1.6934,                0.45327,                0.49359,                0.46697,                0.31357,                 1.7792,                 2.8172,                 1.9431,             0.00049486,             0.00049486,             0.00049486
                     11,                  1.651,                 1.6767,                 1.6297,                0.47727,                0.55831,                0.55495,                0.34688,                 1.7432,                 2.6067,                 1.9061,             0.00048322,             0.00048322,             0.00048322
                     12,                 1.6415,                 1.6443,                 1.6219,                0.52337,                0.57688,                0.56857,                0.39351,                 1.6491,                 2.3866,                  1.848,             0.00047158,             0.00047158,             0.00047158
                     13,                 1.6102,                 1.5456,                 1.5774,                0.64622,                0.48606,                0.54376,                0.37336,                 1.6113,                 2.4632,                  1.821,             0.00045993,             0.00045993,             0.00045993
                     14,                 1.5261,                 1.4439,                 1.5284,                0.67375,                0.58299,                0.58831,                0.38721,                 1.6189,                 2.3499,                 1.7898,             0.00044829,             0.00044829,             0.00044829
                     15,                 1.5344,                 1.4274,                 1.5141,                0.70088,                0.57401,                0.58466,                0.41371,                 1.5477,                 2.2497,                 1.7558,             0.00043665,             0.00043665,             0.00043665
                     16,                 1.4974,                 1.3619,                 1.4971,                0.74905,                 0.6131,                0.62622,                0.44661,                 1.5094,                 2.2338,                 1.7537,             0.00042501,             0.00042501,             0.00042501
                     17,                 1.4259,                 1.2915,                 1.4412,                0.68318,                0.61334,                0.61362,                0.40658,                 1.6153,                 2.1271,                 1.7457,             0.00041336,             0.00041336,             0.00041336
                     18,                 1.4259,                 1.2858,                 1.4338,                 0.6971,                 0.6205,                0.62282,                0.43935,                 1.4555,                 2.0267,                 1.6976,             0.00040172,             0.00040172,             0.00040172
                     19,                 1.4243,                 1.2662,                 1.4229,                0.75682,                0.63075,                0.64764,                0.44596,                 1.5246,                 2.0404,                  1.686,             0.00039008,             0.00039008,             0.00039008
                     20,                 1.4095,                 1.2443,                 1.4281,                 0.8395,                 0.6108,                0.67153,                0.49363,                 1.4365,                 1.8708,                 1.6627,             0.00037844,             0.00037844,             0.00037844
                     21,                 1.4101,                 1.2062,                 1.4096,                0.73856,                0.63706,                0.63756,                0.46635,                 1.4382,                 1.8842,                 1.6148,             0.00036679,             0.00036679,             0.00036679
                     22,                  1.382,                  1.143,                  1.396,                0.81283,                0.62025,                0.67701,                0.49016,                 1.4638,                 1.8232,                 1.6572,             0.00035515,             0.00035515,             0.00035515
                     23,                 1.3478,                  1.129,                 1.3803,                0.80439,                0.64851,                0.68161,                0.50083,                 1.4065,                 1.7775,                 1.6066,             0.00034351,             0.00034351,             0.00034351
                     24,                 1.3467,                 1.1253,                 1.3798,                0.86731,                0.60436,                0.68433,                0.48023,                 1.4533,                 1.8267,                 1.6092,             0.00033187,             0.00033187,             0.00033187
                     25,                 1.3216,                 1.1108,                 1.3749,                0.85699,                0.64398,                0.70928,                0.51112,                 1.3906,                 1.7077,                 1.5931,             0.00032022,             0.00032022,             0.00032022
                     26,                 1.3304,                 1.0857,                 1.3606,                0.87847,                0.67011,                0.71865,                 0.5162,                 1.4259,                 1.6726,                 1.6048,             0.00030858,             0.00030858,             0.00030858
                     27,                 1.3019,                 1.0618,                 1.3502,                0.86571,                0.68047,                0.72463,                0.54326,                 1.3266,                 1.6708,                 1.5439,             0.00029694,             0.00029694,             0.00029694
                     28,                 1.2808,                 1.0019,                   1.32,                 0.9031,                0.65855,                0.72114,                0.53201,                 1.3448,                 1.6128,                 1.5759,              0.0002853,              0.0002853,              0.0002853
                     29,                  1.282,                 1.0295,                 1.3308,                 0.8829,                0.67091,                0.73945,                0.52824,                 1.3164,                 1.6013,                 1.5457,             0.00027366,             0.00027366,             0.00027366
                     30,                  1.261,                 1.0017,                 1.3213,                0.87878,                0.64349,                0.72677,                0.51185,                 1.3793,                 1.6342,                 1.5535,             0.00026201,             0.00026201,             0.00026201
                     31,                 1.2829,                 1.0423,                 1.3402,                0.89041,                0.68608,                0.74497,                0.54948,                 1.2967,                 1.5315,                 1.5043,             0.00025037,             0.00025037,             0.00025037
                     32,                 1.2401,                0.96537,                 1.2905,                0.90875,                0.68907,                0.74089,                0.55398,                 1.3006,                 1.5213,                 1.5032,             0.00023873,             0.00023873,             0.00023873
                     33,                 1.2519,                  0.971,                 1.3027,                0.89539,                0.67547,                0.74131,                0.54626,                 1.3236,                 1.5395,                 1.5168,             0.00022709,             0.00022709,             0.00022709
                     34,                 1.2253,                0.95758,                 1.2959,                 0.9167,                0.66648,                  0.749,                0.54858,                  1.298,                 1.5028,                 1.5105,             0.00021544,             0.00021544,             0.00021544
                     35,                 1.2026,                0.95469,                 1.2883,                0.93956,                0.67713,                0.76775,                0.55718,                   1.31,                 1.4432,                  1.484,              0.0002038,              0.0002038,              0.0002038
                     36,                 1.2052,                0.94969,                 1.2699,                0.93171,                0.66954,                0.76023,                0.56117,                 1.2755,                 1.4506,                 1.4788,             0.00019216,             0.00019216,             0.00019216
                     37,                 1.2055,                0.91479,                 1.2625,                0.91525,                0.67625,                0.76257,                0.56842,                 1.2682,                 1.4556,                 1.4588,             0.00018052,             0.00018052,             0.00018052
                     38,                 1.1935,                0.92021,                 1.2713,                0.92028,                0.69256,                 0.7639,                0.57278,                 1.2492,                 1.4163,                 1.4562,             0.00016887,             0.00016887,             0.00016887
                     39,                  1.185,                0.88494,                 1.2622,                0.92792,                   0.68,                0.77756,                0.57911,                 1.2539,                  1.406,                 1.4558,             0.00015723,             0.00015723,             0.00015723
                     40,                   1.18,                0.89663,                 1.2546,                0.88522,                0.70364,                0.77746,                0.57512,                 1.2673,                 1.3501,                  1.458,             0.00014559,             0.00014559,             0.00014559
                     41,                 1.1276,                0.86593,                 1.3118,                0.90043,                0.69073,                0.77684,                0.57975,                 1.2408,                 1.4201,                 1.4271,             0.00013395,             0.00013395,             0.00013395
                     42,                 1.1106,                0.82718,                 1.2819,                0.88156,                0.70433,                0.76119,                0.56577,                  1.265,                 1.4353,                 1.4481,              0.0001223,              0.0001223,              0.0001223
                     43,                  1.124,                0.83139,                 1.2889,                0.92294,                0.69101,                0.76277,                0.56551,                 1.2764,                 1.3978,                 1.4431,             0.00011066,             0.00011066,             0.00011066
                     44,                 1.0718,                0.80199,                 1.2607,                 0.9382,                0.69489,                0.77072,                0.56433,                 1.2784,                 1.3918,                 1.4263,             9.9019e-05,             9.9019e-05,             9.9019e-05
                     45,                 1.0773,                0.79543,                   1.27,                 0.9187,                0.70488,                0.77441,                0.56791,                 1.2814,                 1.3882,                 1.4285,             8.7377e-05,             8.7377e-05,             8.7377e-05
                     46,                 1.0848,                 0.7983,                 1.2847,                0.93569,                0.69454,                0.78209,                0.58456,                 1.2358,                 1.3426,                 1.4156,             7.5734e-05,             7.5734e-05,             7.5734e-05
                     47,                 1.0613,                0.77719,                 1.2627,                0.93578,                0.69916,                0.77918,                 0.5831,                 1.2148,                 1.3316,                 1.3968,             6.4092e-05,             6.4092e-05,             6.4092e-05
                     48,                 1.0518,                0.75453,                 1.2509,                0.94032,                0.67995,                0.77748,                0.58345,                 1.2237,                 1.3352,                 1.3946,              5.245e-05,              5.245e-05,              5.245e-05
                     49,                 1.0452,                0.78235,                 1.2698,                0.91265,                0.72424,                0.77966,                0.58931,                 1.2089,                 1.2988,                 1.4001,             4.0807e-05,             4.0807e-05,             4.0807e-05
                     50,                 1.0443,                0.77662,                 1.2769,                0.92048,                0.71651,                0.78556,                0.58936,                 1.2154,                 1.2998,                  1.399,             2.9165e-05,             2.9165e-05,             2.9165e-05
