                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.9139,                 10.991,                 4.0111,                      0,                      0,                      0,                      0,                 4.3406,                 5.3885,                 4.1599,              1.875e-05,              1.875e-05,              1.875e-05
                      2,                  4.768,                 8.1109,                 4.2148,                      0,                      0,                      0,                      0,                 4.3405,                 5.3882,                 4.1604,             4.2017e-05,             4.2017e-05,             4.2017e-05
                      3,                 4.7431,                 6.4548,                 4.2099,                      0,                      0,                      0,                      0,                 4.3408,                 5.3872,                 4.1613,             6.3305e-05,             6.3305e-05,             6.3305e-05
                      4,                 5.0523,                 7.4888,                 4.1601,                      0,                      0,                      0,                      0,                 4.3411,                 5.3873,                 4.1611,             8.2613e-05,             8.2613e-05,             8.2613e-05
                      5,                 4.0785,                 6.6842,                 4.2065,                      0,                      0,                      0,                      0,                 4.3411,                 5.3883,                 4.1609,              9.994e-05,              9.994e-05,              9.994e-05
                      6,                  4.653,                 7.5364,                 4.1713,                      0,                      0,                      0,                      0,                  4.341,                 5.3851,                 4.1604,             0.00011529,             0.00011529,             0.00011529
                      7,                 5.1507,                 6.9515,                 4.1662,                      0,                      0,                      0,                      0,                 4.3407,                 5.3851,                 4.1596,             0.00012866,             0.00012866,             0.00012866
                      8,                 4.8897,                 6.9897,                 4.2059,                      0,                      0,                      0,                      0,                 4.3399,                 5.3868,                 4.1583,             0.00014004,             0.00014004,             0.00014004
                      9,                 4.4651,                 6.6092,                 4.1519,                      0,                      0,                      0,                      0,                 4.3395,                 5.3848,                 4.1558,             0.00014945,             0.00014945,             0.00014945
                     10,                 4.6745,                 7.4173,                 4.1627,                      0,                      0,                      0,                      0,                 4.3279,                 5.3814,                 4.1523,             0.00015688,             0.00015688,             0.00015688
                     11,                 4.6354,                 6.7535,                 4.0915,                      0,                      0,                      0,                      0,                 4.3277,                 5.3782,                  4.149,             0.00016233,             0.00016233,             0.00016233
                     12,                 4.2987,                 6.3636,                 4.1423,                      0,                      0,                      0,                      0,                 4.3211,                 5.3757,                 4.1452,             0.00016579,             0.00016579,             0.00016579
                     13,                 4.9231,                 6.9212,                  4.055,                      0,                      0,                      0,                      0,                 4.3164,                 5.3775,                 4.1419,             0.00016728,             0.00016728,             0.00016728
                     14,                 4.0715,                  6.566,                 4.1062,                      0,                      0,                      0,                      0,                 4.3168,                 5.3775,                 4.1399,             0.00016679,             0.00016679,             0.00016679
                     15,                   4.96,                 7.0661,                 4.1113,                      0,                      0,                      0,                      0,                 4.3166,                 5.3818,                  4.138,             0.00016432,             0.00016432,             0.00016432
                     16,                 4.1109,                 7.6251,                 4.1214,                      0,                      0,                      0,                      0,                 4.3163,                 5.3818,                 4.1382,             0.00015986,             0.00015986,             0.00015986
                     17,                 3.6108,                 6.9752,                 4.1409,                      0,                      0,                      0,                      0,                 4.3289,                 5.3897,                 4.1389,             0.00015343,             0.00015343,             0.00015343
                     18,                  3.824,                 6.5994,                 4.0996,                      0,                      0,                      0,                      0,                  4.345,                  5.404,                 4.1444,             0.00014502,             0.00014502,             0.00014502
                     19,                 3.8402,                 7.0653,                 4.1587,                      0,                      0,                      0,                      0,                  4.357,                 5.4143,                 4.1495,             0.00013463,             0.00013463,             0.00013463
                     20,                 4.2981,                  7.957,                 3.9668,                      0,                      0,                      0,                      0,                 4.3732,                  5.426,                 4.1559,             0.00012225,             0.00012225,             0.00012225
                     21,                 3.3344,                 6.7957,                  4.018,                      0,                      0,                      0,                      0,                 4.4067,                   5.45,                 4.1726,              0.0001079,              0.0001079,              0.0001079
                     22,                  3.831,                 7.5905,                  4.038,                      0,                      0,                      0,                      0,                 4.4269,                 5.4648,                  4.182,             9.1568e-05,             9.1568e-05,             9.1568e-05
                     23,                 4.0741,                 8.1608,                 4.0218,                      0,                      0,                      0,                      0,                 4.4435,                 5.4771,                 4.1914,             7.3255e-05,             7.3255e-05,             7.3255e-05
                     24,                 3.8348,                  6.544,                  4.082,                      0,                      0,                      0,                      0,                 4.4591,                 5.4899,                 4.1993,             5.2962e-05,             5.2962e-05,             5.2962e-05
                     25,                 3.5642,                 6.6249,                 4.0406,                      0,                      0,                      0,                      0,                 4.4691,                 5.4991,                 4.2046,              3.069e-05,              3.069e-05,              3.069e-05
